pc,func_name,file_name,line_no
139679457906242,"cudaMalloc",,0
139679461251646,"",,0
139679457852429,"",,0
139679701880221,"nvbit_at_cuda_event",,0
94548104985968,"main",,0
139679460722947,"",,0
139679702119908,"nvbitToolsCallbackFunc(void*, CUtools_cb_domain_enum, unsigned int, void const*)",,0
139679460713160,"",,0
139679460754565,"",,0
139679460676950,"",,0
139679460718184,"",,0
139679460689163,"",,0
139679460754085,"",,0
139679460724488,"pncclCommInitRank",,0
139679452274818,"__libc_start_main",../csu/libc-start.c,308
139679426781229,"",,0
94548104986327,"main",,0
139679461536125,"",,0
139679460689589,"",,0
139679425221336,"",,0
139679460723813,"",,0
139679702088074,"Nvbit::callback(CUctx_st*, int, int, char const*, void*, cudaError_enum*)",,0
139679461469709,"",,0
139679457663226,"",,0
94548104985848,"main",,0
94548104983949,"_start",,0
139679425227454,"",,0
